price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
225000,USD,3,4,2,170,"La Sierra, Tijuana",32.5010515,-117.0279164
69000,USD,5,2,,348,"Mineral de Santa Fe, Tijuana",32.5213388,-117.0010621
170000,USD,2,2,3,248,"Los Alamos, Tijuana",32.510175,-116.9543348
3975000,MN,3,3,2,83,"Colinas de California, Tijuana",32.4653865,-117.0036373
550000,USD,5,4,2,300,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
115000,USD,3,2,2,185,"Lomas del Pacifico, Tijuana",32.5176223,-117.0610198
180000,USD,4,2,,152,"Lomas Conjunto Residencial, Tijuana",32.4837712,-116.9580145
217500,USD,3,2,2,130,"Tijuana, Baja California Norte",32.5149469,-117.0382471
420000,USD,2,,,3,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
435000,USD,4,3,2,343,"Laderas de Monterrey, Tijuana",32.5077965,-117.0242379
850000,USD,3,4,2,400,"Chapultepec, Tijuana",32.505132,-117.0102592
3356269,MN,4,2,2,166,"Tijuana, Baja California Norte",32.5149469,-117.0382471
2077990,MN,3,2,2,132,"Colinas de California, Tijuana",32.4653865,-117.0036373
1417317,MN,3,1,1,200,"San Antonio del Mar, Tijuana",32.4330555,-117.0994444
205000,USD,3,3,2,174,"Tijuana, Baja California Norte",32.5149469,-117.0382471
270000,USD,3,3,2,138,"San Antonio, Tijuana",32.4802792,-117.0441009
2752000,MN,3,3,3,300,"Lomas Hipodromo, Tijuana",32.495283,-116.9933362
2996808,MN,4,2,2,111,"Tijuana, Baja California Norte",32.5149469,-117.0382471
2996808,MN,3,2,2,101,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
225000,USD,2,2,1,135,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
2550000,MN,2,2,2,113,"Tijuana, Baja California Norte",32.5149469,-117.0382471
488000,USD,3,3,2,307,"Tijuana, Baja California Norte",32.5149469,-117.0382471
1060000,MN,3,1,2,126,"Real de San Francisco, Tijuana",32.4860003,-116.8542229
167500,USD,3,3,2,133,"Brisas del Mar, Tijuana",32.4223625,-117.0933824
2150000,MN,3,2,3,120,"Sevilla Residencial, Tijuana",32.4581091,-116.8814639
1680000,MN,2,1,1,120,"Hacienda Acueducto, Tijuana",32.4771717,-116.9639018
1150000,USD,3,3,5,530,"Hacienda Agua Caliente, Tijuana",32.488683,-116.9992226
5500000,MN,5,4,4,300,"Buenos Aires Sur, Tijuana",32.5070286,-116.8939788
450000,USD,4,4,6,450,"Tijuana, Baja California Norte",32.5149469,-117.0382471
310000,USD,3,4,,200,"Hidalgo, Tijuana",32.5153051,-117.0455722
2100000,MN,3,1,2,117,"Villa Residencial Santa Fe, Tijuana",32.4327128,-117.0325276
220000,USD,2,2,2,221,"San Antonio del Mar, Tijuana",32.4330555,-117.0994444
2450000,MN,5,3,2,120,"Villa Fontana , Tijuana",32.5088462,-116.8689482
