price,bedrooms,bathrooms,parkingSpots,propertySize,distance_SY (km),distance_OT (km),location_East,location_Mid-East,location_Mid-West,location_West
700000.0,4.0,4.0,3.0,600.0,6.0,7.0,1,0,0,0
325000.0,3.0,2.0,2.0,230.0,15.0,20.0,0,0,1,0
225000.0,3.0,4.0,2.0,170.0,4.0,10.0,1,0,0,0
636000.0,4.0,3.0,3.0,360.0,11.0,18.0,0,0,1,0
800000.0,2.0,2.0,2.0,275.0,2.0,9.0,1,0,0,0
127500.0,3.0,2.0,2.0,140.0,14.0,11.0,0,1,0,0
170000.0,2.0,2.0,3.0,248.0,8.0,4.0,1,0,0,0
395000.0,3.0,3.0,2.0,283.0,8.0,16.0,0,0,1,0
96445.0,3.0,2.0,2.0,120.0,7.0,9.0,1,0,0,0
480000.0,4.0,4.0,6.0,450.0,7.0,15.0,0,0,1,0
490000.0,4.0,4.0,4.0,300.0,11.0,18.0,0,0,1,0
225000.0,3.0,2.0,1.0,204.0,7.0,7.0,1,0,0,0
87246.7,4.0,3.0,2.0,450.0,6.0,9.0,1,0,0,0
377899.8,4.0,2.0,1.0,400.0,5.0,4.0,1,0,0,0
340000.0,4.0,3.0,2.0,225.0,7.0,15.0,0,0,1,0
241750.0,3.0,2.0,2.0,120.0,7.0,8.0,1,0,0,0
102642.0,4.0,2.0,2.0,120.0,15.0,11.0,0,1,0,0
329000.0,3.0,2.0,2.0,300.0,7.0,16.0,0,0,1,0
162200.0,2.0,2.0,2.0,124.0,4.0,5.0,1,0,0,0
220000.0,2.0,2.0,2.0,221.0,14.0,20.0,0,0,1,0
208309.0,3.0,2.0,2.0,142.0,7.0,16.0,0,0,1,0
190000.0,3.0,2.0,2.0,97.0,12.0,5.0,0,1,0,0
102931.85,3.0,2.0,2.0,122.0,14.0,11.0,0,1,0,0
100000.0,2.0,1.0,2.0,100.0,7.0,8.0,1,0,0,0
790000.0,4.0,5.0,3.0,550.0,4.0,8.0,1,0,0,0
285000.0,3.0,3.0,2.0,160.0,3.0,6.0,1,0,0,0
210000.0,3.0,2.0,2.0,150.0,1.0,10.0,1,0,0,0
102600.0,3.0,2.0,2.0,101.0,14.0,11.0,0,1,0,0
215000.0,3.0,2.0,2.0,387.0,8.0,12.0,1,0,0,0
87246.7,4.0,2.0,2.0,450.0,6.0,9.0,1,0,0,0
149840.4,3.0,2.0,2.0,111.0,14.0,11.0,0,1,0,0
389500.0,3.0,3.0,2.0,182.0,4.0,8.0,1,0,0,0
110000.0,3.0,2.0,2.0,103.0,8.0,6.0,1,0,0,0
69974.0,2.0,1.0,1.0,86.0,20.0,13.0,0,0,0,1
131500.0,3.0,2.0,2.0,106.0,12.0,15.0,0,0,1,0
105000.0,3.0,1.0,2.0,117.0,12.0,15.0,0,0,1,0
400000.0,3.0,2.0,4.0,625.0,8.0,6.0,1,0,0,0
450000.0,4.0,3.0,2.0,241.0,6.0,8.0,1,0,0,0
465000.0,5.0,3.0,3.0,428.0,8.0,3.0,0,1,0,0
470000.0,3.0,3.0,2.0,276.0,6.0,9.0,1,0,0,0
265000.0,3.0,2.0,4.0,210.0,7.0,8.0,1,0,0,0
150000.0,4.0,2.0,1.0,250.0,10.0,7.0,0,1,0,0
97000.0,3.0,2.0,2.0,120.0,15.0,11.0,0,1,0,0
110000.0,4.0,2.0,2.0,207.0,8.0,8.0,1,0,0,0
550000.0,3.0,2.0,1.0,300.0,11.0,18.0,0,0,1,0
107500.0,3.0,2.0,3.0,120.0,17.0,11.0,0,1,0,0
152500.0,3.0,2.0,2.0,103.0,9.0,8.0,1,0,0,0
144750.0,3.0,2.0,2.0,144.0,14.0,9.0,0,1,0,0
55000.0,4.0,2.0,1.0,160.0,6.0,13.0,0,0,1,0
67000.0,2.0,1.0,2.0,76.0,11.0,15.0,0,0,1,0
178500.0,3.0,2.0,2.0,101.0,15.0,20.0,0,0,1,0
800000.0,3.0,4.0,2.0,502.0,11.0,18.0,0,0,1,0
175000.0,2.0,2.0,2.0,128.0,5.0,10.0,1,0,0,0
217500.0,3.0,2.0,2.0,129.0,11.0,8.0,0,1,0,0
150000.0,3.0,2.0,1.0,207.0,7.0,6.0,1,0,0,0
340000.0,3.0,2.0,2.0,162.0,2.0,9.0,1,0,0,0
310000.0,3.0,2.0,2.0,227.0,5.0,9.0,1,0,0,0
234703.25,2.0,2.0,2.0,92.0,4.0,5.0,1,0,0,0
450000.0,5.0,3.0,1.0,5.0,15.0,21.0,0,0,1,0
217500.0,3.0,2.0,1.0,150.0,7.0,5.0,1,0,0,0
550000.0,4.0,5.0,2.0,233.0,7.0,9.0,1,0,0,0
87955.0,5.0,3.0,2.0,200.0,7.0,15.0,0,0,1,0
435000.0,4.0,3.0,2.0,343.0,4.0,9.0,1,0,0,0
